,penalty,C-USS,C-UPP,C-ZS,C-ZP,C-BETAS,C-BETAP,C-ALP,C-GSS,C-GPP,C-GSP,C-GP2,C-HSP,C-EHEAT,H-USS,H-ZS,H-BETAS,H-ALP,H-GSS,H-EHEAT,N-USS,N-UPP,N-ZS,N-ZP,N-BETAS,N-BETAP,N-ALP,N-GSS,N-GPP,N-GSP,N-GP2,N-HSP,N-EHEAT,O-USS,O-UPP,O-ZS,O-ZP,O-BETAS,O-BETAP,O-ALP,O-GSS,O-GPP,O-GSP,O-GP2,O-HSP,O-EHEAT
11,161.6883351296788,-0.23181462450990165,0.7393358336698999,0.8201289427144265,0.3609676905654886,-0.444933873979689,0.05169874717166523,-0.26204983183095865,0.9761693924052497,0.010133277546401143,0.007755678407243005,-0.017931257453447813,0.23815835445439393,0.8887249938827293,0.19244044842720065,0.2738270990388587,-0.7500983761439198,0.461650851295047,0.15778230412844363,-0.129613272780414,-0.9160692731464203,0.7485095542465794,-0.4751374153739665,-0.1668968761996643,0.8576875470648981,-0.11047246620748541,-0.004422480142724283,0.27157250304302205,0.04533903314621712,-0.24712591830979502,-0.8638460893875841,-0.40714633331509487,0.4294941362340259,0.743970998879123,0.6193070517263501,0.12556401505429804,-0.6572425164199982,0.3448683159583785,0.10398215900775987,0.05955404759516192,0.8086652343425835,-0.34770122313901786,0.5515549184111475,-0.6564679133016695,-0.567038258745685,0.06140366419545962
36,164.59121535306312,0.768470440432635,0.8587516346820216,-0.5003094068769343,0.5561155920709353,-0.31814214870496993,0.48118870416964565,-7.163923184871912e-05,-0.9438640480137208,-0.04049839356228191,-0.4642070571981112,0.06901831180736484,-0.8702450010050949,-0.4032063665658463,-0.1584104884726223,0.8176447397214353,-0.315948191034767,-0.6716929937377316,0.6124214356143671,-0.35859755283059447,-0.6349647593901301,0.9857774367211105,0.8626513456151186,-0.36637274762905747,0.05536542451193127,0.7889994913418035,-0.012826401156528222,0.7331355769043013,-0.8658379392752571,-0.8196972933589739,-0.5222345053517707,-0.03828651250205284,-0.1846014947801924,-0.3491997275481229,0.56950108724959,-0.7127164933610668,0.8574975309242974,0.597046886595215,-0.3754873862638909,-0.8936272365245369,0.5721148579505482,-0.41010864307736405,0.3227916812824514,0.35118224106718876,0.853122846758146,-0.18614798754735107
25,168.1769096834342,-0.7655639562487401,-0.5895019147493799,-0.6977825063523577,-0.44806185288300016,-0.10835675665466704,0.6997963509063159,-0.8253913872832472,-0.5524609044936435,-0.13139380304491388,0.21384232483942922,0.6241831019049942,-0.5723812679333221,-0.41533671959482155,0.49306361398341814,-0.11691013314028287,-0.22245305748968547,0.7661702806838828,-0.44869198172277913,0.09848793415752288,-0.03192369778921833,-0.014114818295687837,-0.9608377071886437,-0.3171974044695165,0.42901190865540806,-0.3583756206646074,0.0966873378382993,-0.6448502161669173,-0.3664522939086674,-0.8707057993399936,0.4475134944522092,0.4712279044143002,0.0813807799906654,0.5781018248805867,-0.555798575275821,0.2770914599512122,0.6963256786774801,0.9028336790360079,0.31330981918429335,-0.6298546091480635,0.7320328269814731,0.694871407328634,0.7730962556946417,0.31137631346556116,0.5354862632780117,-0.8292193762620894
49,176.50208463650853,-0.7655639562487401,-0.5895019147493799,0.057505913383486984,-0.2969886485301534,-0.06779786050714576,0.8461574423911602,-0.7693703450432776,-0.24278536300088338,0.27709617574382595,-0.4582800761238047,0.6241831019049942,-0.407793460839489,-0.8875836308266188,0.49306361398341814,0.1372154426305623,-0.22245305748968547,0.7202149867508085,-0.44869198172277913,-0.7486459486295043,-0.03192369778921833,-0.3636284093397545,-0.4441827840122733,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.7282233663542568,-0.6448502161669173,0.43073944841835865,-0.8707057993399936,0.35812339699947193,0.3441015223199262,0.6669763516994527,0.8896362027966336,-0.555798575275821,-0.03356912847487825,-0.13264810952001016,0.09378249772350689,0.3600955374014254,-0.6298546091480635,0.2838184917913764,-0.026581882495224973,0.8465596220156502,0.8764417449792214,0.5354862632780117,-0.3777559529314892
20,206.2240820488633,-0.7655639562487401,-0.5895019147493799,0.057505913383486984,-0.44806185288300016,0.5254345044185393,-0.01131621537188765,-0.1751575774997074,-0.5065531751186283,-0.36918779303787386,-0.4582800761238047,0.9190244125981955,-0.407793460839489,-0.8902011289508607,0.5207173988521965,0.30737472171453395,-0.22245305748968547,0.10668184114516333,-0.44869198172277913,0.09848793415752288,0.5637040842977459,-0.8293780424484231,0.06262200238920168,-0.3197494720873896,0.42901190865540806,-0.3223984741479373,-0.7282233663542568,0.18043690114054067,-0.9962760808590639,-0.7861056180747941,0.5543285923103114,0.14201218704551422,0.6669763516994527,0.8896362027966336,-0.555798575275821,0.14827363233198687,-0.6961455277915409,0.09378249772350689,0.5188158324283538,-0.1476414434253316,0.7320328269814731,-0.3730914807027771,0.8697329411319161,0.6032753976453042,0.3306315878595367,-0.32647037594412043
46,214.24240873251773,0.768470440432635,0.7528888663065019,0.1450140733440688,-0.1745092682894197,-0.03215150105387632,0.48118870416964565,0.8115433622085195,0.018633089823297366,-0.7602041550324441,-0.7459695622301319,-0.26022409319636675,-0.32647792310485246,-0.18169917959481086,0.15831314327513168,0.8256670252500491,-0.315948191034767,-0.6716929937377316,-0.08440909117338014,-0.39393618219438564,-0.7016850069778631,0.9857774367211105,0.7970687146938547,-0.36637274762905747,-0.2505120673231267,0.7889994913418035,-0.324130948706979,0.859720486626866,-0.6978254181946326,-0.8728909833827059,-0.3289303903283496,0.7340615954918461,-0.8173630978359203,-0.3491997275481229,0.8175637160898863,-0.7127164933610668,0.8574975309242974,0.10806117168572626,-0.6039830557813302,-0.5326413556587495,0.4166833423624787,-0.8324683195580787,0.3256709311464858,-0.3486533313551201,0.5767132034263294,-0.18614798754735107
37,220.67357038869153,-0.7655639562487401,0.11747397978637308,0.17381653926970309,-0.27715691965973843,-0.06779786050714576,0.6997963509063159,-0.6567310921242585,0.21245957835326879,-0.29581242365190275,-0.4582800761238047,0.6241831019049942,-0.2188989271968963,-0.8902011289508607,0.49306361398341814,0.7328517086191293,-0.22245305748968547,0.7202149867508085,-0.31170192552090115,-0.7048433477107604,0.5694529965737174,0.4283164627061409,-0.7166917110018511,-0.3197494720873896,-0.03720226330614684,-0.40112728364128336,-0.1944042202675884,-0.6448502161669173,-0.3664522939086674,-0.5554328091800823,-0.4735309723394794,0.14201218704551422,0.6669763516994527,0.8896362027966336,-0.555798575275821,0.2770914599512122,-0.361200237152818,0.09378249772350689,0.3600955374014254,-0.6298546091480635,0.9285817778783756,-0.24262821200591878,0.32123645141397694,-0.2689948020525279,0.5354862632780117,-0.3777559529314892
38,229.9756232529267,-0.7655639562487401,-0.5895019147493799,-0.7459861659239986,-0.44806185288300016,-0.06779786050714576,0.45622541720849785,-0.9322499017938456,-0.8027393192453642,0.5485768851370674,-0.4582800761238047,0.6241831019049942,-0.407793460839489,-0.8902011289508607,0.49306361398341814,0.6544985491197517,-0.22245305748968547,0.6488925709093247,-0.44869198172277913,0.09848793415752288,-0.03192369778921833,-0.3636284093397545,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.2771871433812043,0.03521118017979585,0.22095314379030873,-0.3664522939086674,-0.6103319970318497,0.6334817402132775,-0.30207152935011816,0.4897170576189942,0.4859223129791683,-0.6753639336541836,-0.28641124639048976,-0.3536798259836802,0.09378249772350689,0.3600955374014254,-0.6298546091480635,0.7320328269814731,0.09877007804721827,0.8465596220156502,0.016358490270208526,0.5354862632780117,-0.4137714027147734
10,233.83693302157127,-0.09077409250362267,-0.9283967903096019,-0.08441220612851652,0.7670145984303567,-0.8944736955314996,0.8079111536681192,-0.5384903221551294,0.6464549046071573,0.3846147111133422,0.8509303931032655,0.4114896718487504,-0.6269438703535892,0.2050069722502572,-0.028071601927699086,-0.9410513498872443,0.9678668551629819,-0.5218238215815614,-0.023547437762038714,-0.2766942228582313,0.4627544753463093,-0.7034624452643319,0.8024984319233397,0.34713229092658127,-0.828978380033317,0.3516056408687749,0.12391859265276528,0.9373098441028476,0.9953426003806076,-0.6561818788082332,-0.35708613005407364,0.49097414976522047,-0.8209057181581729,-0.8610898206130063,0.5292350599285438,0.7568760322954409,0.9052179479064655,-0.08968196977977083,0.5505142162066157,-0.4963791049136035,-0.7610394035199259,-0.5939818665650975,0.7504096641985916,0.6931719912178465,0.3195528732383286,-0.5452841374338481
32,262.16049349653423,-0.10307096236911473,-0.5895019147493799,0.057505913383486984,-0.44806185288300016,-0.06779786050714576,0.4557018722187094,-0.35980835420934265,-0.3636908283856214,-0.15434791567908102,0.019018421894690496,0.6241831019049942,-0.53144020269945,-0.8902011289508607,0.009291971645480457,-0.18809403208844166,-0.22245305748968547,0.7202149867508085,-0.08370279102882527,-0.06494691049326562,-0.03192369778921833,-0.0028379888025091837,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.6039632703829747,-0.6448502161669173,0.3256295935559963,-0.8707057993399936,0.35812339699947193,0.14201218704551422,0.6669763516994527,0.5619934506127644,-0.555798575275821,0.2803942356081679,0.041726973234763154,0.1420276636792508,0.32734281697034606,-0.6298546091480635,0.9530289282868891,0.420235767545843,0.8465596220156502,0.5075157122188183,0.5354862632780117,-0.2664300763430998
39,272.5039297788756,-0.7655639562487401,-0.5895019147493799,0.7109601490728079,-0.2076604366542063,-0.06779786050714576,0.446553993570185,0.22494788631655216,0.0005567242188275756,0.27977920905948483,-0.9524409066972646,-0.2794016736544609,-0.5453826039522036,-0.8902011289508607,0.49306361398341814,0.1372154426305623,-0.015389316369518569,0.7202149867508085,-0.5923596546362653,0.09848793415752288,-0.03192369778921833,0.24777742776653744,-0.7166917110018511,-0.3197494720873896,0.42901190865540806,-0.2574261284193132,-0.6127542425050698,0.2292719686102127,0.33720689716605357,-0.8707057993399936,0.35812339699947193,0.14201218704551422,0.6669763516994527,0.28895486635349243,-0.555798575275821,-0.2336985661387756,-0.053777601223084615,-0.7374400430274379,0.3600955374014254,-0.6298546091480635,0.5158821422020734,-0.026581882495224973,0.8465596220156502,0.5175965079015543,0.48349322957335406,-0.4335669185934198
18,273.5448096304681,0.6978327427435693,-0.19402480950131218,0.5561080206966107,-0.10909149346763647,0.4616953771395993,0.22402100940131575,0.5403348641857422,-0.1789423024816561,0.8885406912553693,-0.8521962871329299,-0.7726701391638174,-0.21498695615764407,-0.3421500663631172,-0.24959534398232042,-0.06397438138674716,0.0415591400383295,0.8268658988370032,-0.844114616336975,0.7671192088769294,-0.44635491389786586,0.8255691745905962,0.7907267966550982,-0.6944872902862173,-0.05147937593459995,0.19320729201057385,0.4662359512467473,0.6377700781488715,-0.16038807684950906,0.6197102778886217,-0.10333873077695233,-0.39602254419225724,-0.09650448088144625,0.20677519965632518,0.2260775189848936,0.8918370892619085,-0.5109047251728187,-0.7701925986022803,0.7135278154856453,-0.8713893557797772,-0.8700241226291474,0.5972408931789746,-0.6927233248223335,-0.9985339016716535,-0.6523351106186657,-0.03391238512187733
44,273.7832950622211,-0.12916708089003437,0.8587516346820216,-0.5003094068769343,0.5561155920709353,0.04178134532161737,-0.2300731464210357,0.8115433622085195,-0.4421741928263374,-0.6620889280316626,0.011757430036035244,0.5912572672995515,-0.8702450010050949,0.5592196830885792,0.08623572815071201,0.8176447397214353,0.3756774036946182,-0.6716929937377316,-0.46809705622129305,-0.33307251667790605,-0.6349647593901301,0.1746547647822827,0.969719353409294,-0.36637274762905747,-0.45584590144577064,0.7889994913418035,0.27340847978613936,0.61628100164114,-0.40062308942042146,-0.9618192377728983,-0.3289303903283496,0.9099705525275397,-0.3537435088257278,-0.3491997275481229,0.56950108724959,-0.9417586297062912,0.05474912675238519,0.597046886595215,-0.6039830557813302,-0.9702927508524212,0.5721148579505482,0.007990739285584914,-0.24839669206874548,-0.10410855585648993,0.46886856299213076,0.3771104780342305
31,273.8422276911503,-0.6093351015195284,0.3239268245278297,0.7141418791732237,-0.44806185288300016,-0.06779786050714576,-0.19855806906656737,-0.6567310921242585,-0.3636908283856214,0.11102172658588283,-0.4582800761238047,0.6241831019049942,-0.32019260089070467,-0.42116174234175763,0.49306361398341814,0.8547331324210297,-0.22245305748968547,0.7202149867508085,-0.44869198172277913,0.6830851930964212,-0.03192369778921833,-0.3636284093397545,-0.7244693329500997,-0.3197494720873896,0.2673786217939398,-0.30177102304563097,-0.7282233663542568,-0.6448502161669173,-0.3664522939086674,-0.8707057993399936,0.35812339699947193,-0.31490803609007545,-0.004487550166292653,0.4223782501431219,-0.7998696162616905,0.7495355206754972,0.041726973234763154,0.09378249772350689,0.3600955374014254,-0.6006037552524238,0.44314318066162195,0.8541979247801841,0.8465596220156502,-0.134429693000222,0.5354862632780117,-0.3777559529314892
4,275.93464139764836,-0.6705747693925711,0.3102078507681345,-0.34197242386911897,0.30532582179151,0.9636335740667734,-0.9240821536709328,-0.06615809823312435,0.7148679357193777,-0.9406942847496859,0.5397136435356589,-0.7107616207927143,0.7757879445893172,0.5559606396348902,-0.7683457143645669,-0.7735210650986329,0.061586269067017474,0.35630247406856985,-0.7436620938923655,-0.13732795684591548,0.5860306011102012,-0.8631901663502803,-0.486640242596868,-0.9689965689748663,0.8525941477523344,0.20331762156096467,-0.43546947693590066,-0.9196220221953375,-0.39512624258317675,0.5656448092760396,-0.18268694620523696,0.09273666415089599,0.041739859210041086,-0.5988797742994916,0.9444753877020291,0.08455499625868601,0.0695291488256824,0.36060372718916023,-0.1369506998397314,0.2985485728469879,0.2351162817464676,0.00923125801321767,0.9172424088002922,0.18484996982007496,0.10039080094792663,0.9208738510701411
7,306.28414775304776,0.36556845243732905,0.7828558586486136,-0.6315941750780004,0.7650882190661745,0.36808912545457284,-0.3531407331395552,-0.618840789319571,0.1584041347950782,0.12609746509979614,0.04242028933034492,-0.956292707178653,-0.5118629507516974,0.3819127400427764,0.5785899640065393,-0.0177372449209926,-0.7010906361563907,-0.15512390140341037,-0.47620308509907816,0.8886732492628244,0.017623414194277265,-0.0011912222418857255,-0.12656746385843776,0.4817275533421512,-0.8187111662442161,0.06543717916426584,0.8930336867160675,0.12467886741778655,0.5272438859421942,0.29154038017806405,-0.6847032680318648,-0.12271047773285393,0.9481596766391118,0.9238973466609195,0.3276421232807367,0.4649343047445478,0.7082758643400624,-0.3016096406493528,-0.5357973275624408,0.932199977475886,-0.7199696028925908,-0.187266360642117,0.792347925155888,-0.5977492222079932,0.22767840580231802,-0.4086808584171504
26,308.6969920542561,-0.32249342265330705,-0.5895019147493799,0.9142474589458285,-0.44806185288300016,-0.06779786050714576,0.6997963509063159,-0.6567310921242585,-0.7300880889926382,-0.29581242365190275,-0.5026225415306264,0.11001041975968873,-0.3995334211582673,0.002515860280036142,0.27221828612639554,0.1372154426305623,-0.22245305748968547,0.9272420718272292,-0.44869198172277913,0.44218794330373656,-0.03192369778921833,-0.9806310000255708,-0.452319188232453,-0.3197494720873896,0.42901190865540806,-0.3384060669294493,-0.7282233663542568,-0.8529286408244232,-0.08849406514234803,-0.10603454411900459,-0.047950364829427494,0.14201218704551422,0.6669763516994527,0.5049386804165241,-0.6973168713196218,0.2770914599512122,-0.26294848539115834,0.6105106307087071,0.3600955374014254,-0.6298546091480635,0.7320328269814731,0.22092771021880897,0.8465596220156502,-0.797350425820368,0.03421343725212478,-0.7518753988249102
